ID_CUPOM,DT,PRODUTO
116887991,2018-06-05 20:24:17.367,INSET BAYGON MULTI AER        300ML
116887991,2018-06-05 20:24:17.367,INSET BAYGON MULTI AER        300ML
116904803,2018-06-05 22:59:52.380,CUSCUZ MILHO NUTRIVITA FLOC 500G
117045112,2018-06-06 18:20:48.983,CH SONHO DE CREME  KG
117285479,2018-06-07 23:36:36.790,F MELAO AMARELO KG
117285479,2018-06-07 23:36:36.790,CART M BONI P/CAB C/50 GRAMP N51341
117285479,2018-06-07 23:36:36.790,SAB NIVEA BOX MASC SENSIT 3EM1 90G
117285479,2018-06-07 23:36:36.790,F MELAO AMARELO KG
117285479,2018-06-07 23:36:36.790,CART M BONI P/CAB C/50 GRAMP N51341
117285479,2018-06-07 23:36:36.790,SAB NIVEA BOX MASC SENSIT 3EM1 90G
117381675,2018-06-08 15:49:04.480,CUSCUZ MILHO MARATA FLOCAO 500G
117581923,2018-06-09 14:46:25.770,CUSCUZ MILHO MARATA FLOCAO 500G
117602515,2018-06-09 16:20:24.970,VH TTO CHIL STA HEL SAUV RESE 750ML
117688783,2018-06-09 23:30:54.833,ALCATRA BOV PED KG
117688783,2018-06-09 23:30:54.833,DANONE LIQ MORANGO             900G
117688783,2018-06-09 23:30:54.833,F UVA DA HORA DOCE MEL UN
117688783,2018-06-09 23:30:54.833,ALCATRA BOV PED KG
117688783,2018-06-09 23:30:54.833,DANONE LIQ MORANGO             900G
117688783,2018-06-09 23:30:54.833,F UVA DA HORA DOCE MEL UN
116856427,2018-06-05 18:26:33.610,V ALFACE AMERICANO               KG
116856427,2018-06-05 18:26:33.610,V COUVE FLOR                     KG
116856427,2018-06-05 18:26:33.610,BISC ESTRELA MARIA             400G
116856427,2018-06-05 18:26:33.610,F CASTANHA DO PARA EXCEL 150G
116856427,2018-06-05 18:26:33.610,V ACELGA HORT VERDE              KG
116856427,2018-06-05 18:26:33.610,BISC RICH ANIM ZOO WAF CHOC BRA 30G
117212578,2018-06-07 17:15:26.733,VIN MINHOTO ALCOOL            500ML
117212578,2018-06-07 17:15:26.733,FILEZINHO DE PEITO FGO SEAR     BD
117212578,2018-06-07 17:15:26.733,VIN MINHOTO ALCOOL            500ML
